name;category;date;text;image_src;icon;project_link
Cave Cart;unity;01/08/2019 - 01/09/2019;In 2019 I attended a Danish folk high school, where I took the game design course. We were a group of three people on the course. I made several games with my group. Cave Cart was the final project, which took a month to make. My main responsibility on the project was programming using Unity and C#.<br><br> The game is similar to temple run. The player is driving a mine-cart in a tunnel with three tracks. To avoid obstacles like holes and explosive barrels the player switches tracks. The player gets points according to how long they survive and gets extra points by collecting pickups. The maze is procedurally generated, and the game is endless. The game also contains power-ups, a start screen, setting and credit scene.;CaveCart.png;unity;
This Website;web-development;01/07/2023 - 01/09/2023;During my summer vacation after 6.th semester I spent about a month making this personal website to show off my coding projects. I have only ever worked a little with web development, which was during high school. Therefore I had to learn HTML, CSS and JavaScript from scratch, which took some time. I wanted to avoid dublicate code on the website, so I use JavaScript to load the project info from a CSV. So the code in the projects grid and in the popup window is generated by JS. That makes the website easier to maintain and easier to add new projects. The design of the website is my own. I didn't copy the design or use a temlate. By clicking the GitHub logo above you can see the project in GitHub.;favicon.ico;github;https://github.com/magn3144/Personlig-Hjemmeside
Dream Game;unity;01/08/2019 - 01/09/2019;I went to a danish folk highschool where I took the game design course. One of the first games I made with my group was a 2D platformer called dream game. It is a simple platformer with a surreal dream-like theme. It was a small project and only took about a week to make. The game can be played online by clicking the Unity icon.;Dream Game 2.png;unity;https://play.unity.com/mg/other/dream-game
Mind Hive;unity;01/11/2022 - NOW;This currently unfinished mobile game is a project my friend and I decided to make in our free time. ;Mind Hive.PNG;unity;#
Flip Maze;unity;01/02/2017 - 01/04/20;When I was a beginner at Unity I decided I wanted to make a simple puzzle game, to learn the engiene. I made this game called Flip Maze where the goal is to get the red cube through the maze and into the yellow goal. The cube can only be moved by rotating the maze. I have made several features to the game, like a script that can generate the mesh for the maze from a txt file defining the level, and a script that can generate random levels, with a specified difficulty.;Flip Maze.PNG;unity;https://play.unity.com/mg/other/flip-maze
Hypercube;unity;01/07/2020 - 01/09/2020;On my summer vacation after highschool I had an interest for higher dimensions. I had seen games where the player sees either a 3D slice or a 3D projection of a 4D world. Therefore I made this demo where the user can generate a hypercube in 'n' dimensions and then rotate and translate it. A hypercube is the higher dimensional generalization of a cube. So a 2D hypercube is a square, a 3D hypercube is a cube and a 4D hypercube is a tesseract. What is shown on the screen is a 3D slice of this n-dimensional hypercube.;Hypercube.png;unity;https://play.unity.com/mg/other/3d-slice-of-n-dimensional-hypercube
Offline RL Using Transformers;ML / Data;01/09/2022 - 01/01/2023;During our fourth semester me and my group at DTU made a large machine learning project. All students on fourth semester chose a project from a list. We chose a project about offline reinforcement learning using transformers. My main focus on the project was programming, but also writing the report. The goal of the project was to replicate the results of a research paper, and build on the research paper to obtain new results.<br><br> Offline RL is the task of training a RL model on existing data without being able to collect new data from the environment. This is generally more difficult than online RL because the model cannot sample new data in places where it lacks knowledge.<br><br> The researchers proposed that a transformer model could be used for offline RL. This is based on the intuition that RL is about modelling a sequence of actions, and transformers are good at modelling sequences. In the paper the problem was to teach an AI how to walk. That AI could be a simulated spider or humanoid. We used MoJuCo to simulate the environment.<br><br> In the end the transformer AI was able to walk for about 20 seconds before falling, but didn't seem to generalize much from the data. That means the model performed well when the environment was similar to the data, but not so well when having to exstrapolate from the data.<br><br> In the research paper the RL model only had one objective, just like in classic RL. We exstended on the research by letting the RL model to be trained towards two or more objectives. After training the model could then be told to focus more or less on each of the objectives. For example using our new approach the model can be trained to run as fast as possible while using as little energy as possible. Then after training we can adjust how much we want the model to focus on each goal. Maybe its very important that the AI runs as fast as possible or maybe its important that it uses as little energy as possible. It is not possible to adjust a goal that way after a model has been trained with classic RL. This experiment gave mixed results.;Walker MDT.png;github;https://github.com/TheGoldenChicken/decision_transformer
Quadratic Equation Finder;other programming;01/07/2016 - 01/08/2016;When I started programming I made small C# console projects in visual studio. One of the first projects I made was a simple algorithm to find a quadratic equation from three points. The algorithm uses an iterative approach to find a, b, and c in the equadratic equation from the three points. The reason it doesn't just solve three equations with three unknowns is that I hadn't learned about systems of equations when I made the project. It was still a fun project to learn some basic programming skills.;Quadratic.png;github;
Mavis Robot Project;ML / Data;01/02/2023 - 01/06/2023;During my sixth semester me and my group made a pathfinding project for a robot in the course symbolic artificial intelligence. The goal of the project was to utilize different search algorithms to allow a real robot to navigate a maze by itself, and complete tasks. Some of the search algorithms we learned in the course are DFS, BFS, A*, greedy first search and iterative deepening search algorithms.;Mavis Robot 1.png;github;https://github.com/magn3144/mavis1
Database Project;ML / Data;01/02/2023 - 01/06/2023;On my sixth semester I made a database in MySQL with my group. It is a formula 1 database, that keeps track of races, drivers, tournaments and more. After this course I had a good understanding of how classic databases works and how to maintain them. I learned about SQL queries, how databases works on a fundamental level and database normalization.;Formula 1.jpg;github;https://github.com/jona605a/02170project-racecar
Bachelor Project about Webscraping using LLM's;ML / Data;01/09/2023 - 14/12/2023;During my last semester of my bachelor I did my bachelor project. The topic of this project was Extracting Web Data Using LLM’s and Transfer Learning for LLM’s. During the project I finetuned an opensource LLM (LLAMA2-7B) to write web scrapers in python given automatically extracted information about a web page. In order to train such a large model on a single graphics card I used a technique called "QLoRA". This is a technique for fintuning a large language model with less VRAM. LoRA weights are added to the model and the rest of the weights are quantized, meaning they are store in lower precision (for example 4 bit). Many models were trained with cross validation in order to test the performance of different hyperparameters.;epochs_vs_r.png;github;https://github.com/magn3144/Bachelorproject
